
"101","04014","El Djazia","36.19770219999999","5.4238373","4"
"102","04015","Ain Diss","36.1780556","7.379166700000001","4"
"103","04016","Fkirina","35.6640497","7.300360400000001","4"
"104","04017","Souk Naamane","35.9414231","6.386442799999999","4"
"105","04018","Zorg","35.8472222","7.447777799999999","4"
"106","04019","El Fedjoudj Boughrar","0","0","4"
"107","04020","Ouled Zouai","35.8477341","6.5143087","4"
"108","04021","Bir Chouhada","35.8966254","6.2925058","4"
"109","04022","Ksar Sbahi","36.0841308","7.2571943","4"
"110","04023","Oued Nini","35.5700761","7.347604800000001","4"
"111","04024","Meskiana","35.6328262","7.6710889","4"
"112","04025","Ain Fekroune","0","0","4"
"113","04026","Rahia","35.716667","7.666667","4"
"114","04027","Ain Zitoun","35.6842651","6.935674","4"
"115","04028","Ouled Gacem","36.4858668","3.5502751","4"
"116","04029","El Harmilia","35.9245726","6.6223966","4"
"117","05001","Batna","35.5610218","6.173911599999999","5"
"118","05002","Ghassira","35.0777543","6.2163597","5"
"119","05003","Maafa","35.266667","5.899999999999999","5"
"120","05004","Merouana","35.6287744","5.909275399999999","5"
"121","05005","Seriana","35.6917406","6.173911599999999","5"
"122","05006","Menaa","35.1280608","6.089103199999999","5"
"123","05007","El Madher","35.6371149","6.386442799999999","5"
"124","05008","Tazoult","35.5130278","6.258836899999999","5"
"125","05009","Ngaous","35.5566128","5.593239","5"
"126","05010","Guigba","35.73196009999999","5.572229699999999","5"
"127","05011","Inoughissen","35.2684424","6.5463156","5"
"128","05012","Ouyoun El Assafir","35.552203","6.3438785","5"
"129","05013","Djerma","35.6851412","6.3013432","5"
"130","05014","Bitam","35.1408805","5.3520876","5"
"131","05015","Metkaouak","35.3687479","5.183641","5"
"132","05016","Arris","35.3005374","6.354516900000001","5"
"133","05017","Kimmel","34.9766508","6.471658","5"
"134","05018","Tilatou","35.28194149999999","5.624766999999999","5"
"135","05019","Ain Djasser","35.8308281","6.0044121","5"
"136","05020","Ouled Selam","36.4987471","3.6160814","5"
"137","05021","Tigherghar","35.0905115","5.9621106","5"
"138","05022","Ain Yagout","35.8088781","6.429036","5"
"139","05023","Fesdis","35.6127845","6.2269763","5"
"140","05024","Sefiane","35.4255853","5.593239","5"
"141","05025","Rahbat","35.7280419","5.6563119","5"
"142","05026","Tighanimine","35.1955527","6.2694608","5"
"143","05027","Lemsane","35.6349128","5.7826597","5"
"144","05028","Ksar Belezma","35.706563","5.8775964","5"
"145","05029","Seggana","35.3295911","5.5407299","5"
"146","05030","Ichmoul","35.2969444","6.4783333","5"
"147","05031","Foum Toub","35.368536","6.5143087","5"
"148","05032","Beni Foudhala El Hakania","35.3928288","6.0467429","5"
"149","05033","Oued El Ma","35.6567552","6.0044121","5"
"150","05034","Talkhamt","35.71267030000001","5.751047499999999","5"
"151","05035","Bouzina","35.26989530000001","6.0996978","5"
"152","05036","Chemora","35.6256226","6.5996963","5"
"153","05037","Oued Chaaba","35.5238393","6.0467429","5"
"154","05038","Taxlent","35.5799027","5.7932008","5"
"155","05039","Gosbat","35.6391967","5.456813299999999","5"
"156","05040","Ouled Aouf","35.450956","5.751047499999999","5"
"157","05041","Boumagueur","35.4930629","5.551228","5"
"158","05042","Barika","35.3845934","5.2893433","5"
"159","05043","Djezzar","35.51389229999999","5.3311652","5"
"160","05044","Tkout","35.1588259","6.3438785","5"
"161","05045","Ain Touta","35.3991089","5.9198387","5"
"162","05046","Hidoussa","35.5","5.899999999999999","5"
"163","05047","Teniet El Abed","35.25","6.183332999999999","5"
"164","05048","Oued Taga","35.4212867","6.3438785","5"
"165","05049","Ouled Fadel","35.5337671","6.685198199999999","5"
"166","05050","Timgad","35.4995081","6.5143087","5"
"167","05051","Ras El Aioun","35.6770224","5.5827334","5"
"168","05052","Chir","35.2135627","6.131492799999999","5"
"169","05053","Ouled Si Slimane","35.5859034","5.6668306","5"
"170","05054","Zanat El Beida","35.8037586","6.1102943","5"
"171","05055","Amdoukal","35.1270837","5.1640605","5"
"172","05056","Ouled Ammar","35.4774579","5.1640605","5"
"173","05057","El Hassi","36.1782475","5.4581235","5"
"174","05058","Lazrou","35.7721622","6.3013432","5"
"175","05059","Boumia","35.7173264","6.5143087","5"
"176","05060","Boulhilat","35.7538128","6.642433","5"
"177","05061","Larbaa","36.5893036","3.1578875","5"
"178","06001","Bejaia","36.7508896","5.056733299999999","6"
"179","06002","Amizour","36.6421159","4.903334","6"
"180","06003","Ferraoun","36.55740470000001","4.8647019","6"
"181","06004","Taourirt Ighil","36.72021549999999","4.738101299999999","6"
"182","06005","Chelata","36.5135502","4.5108862","6"
"183","06006","Tamokra","36.3983738","4.667343199999999","6"
"184","06007","Timzrit","36.6151583","4.7749158","6"
"185","06008","Souk El Thenine","36.6256524","5.3360215","6"
"186","06009","Mcisna","36.56340700000001","4.710368","6"
"187","06010","Thinabdher","0","0","6"
"188","06011","Tichi","36.6682721","5.1550882","6"
"189","06012","Semaoun","36.61496100000001","4.823662","6"
"190","06013","Kendira","36.5404083","5.0268199","6"
"191","06014","Tifra","36.6667365","4.6963496","6"
"192","06015","Ighram","36.4624661","4.5048939","6"
"193","06016","Amalou","36.6138358","5.1464647","6"
"194","06017","Ighil Ali","36.3379865","4.4702131","6"
"195","06018","Ifelain Ilmathen","0","0","6"
"196","06019","Toudja","36.7490754","4.8899903","6"
"197","06020","Darguina","36.5646323","5.305989600000001","6"
"198","06021","Sidi Ayad","36.6122273","4.7159414","6"
"199","06022","Aokas","36.6369535","5.2440622","6"
"200","06023","Beni Djellil","36.5729271","4.810767999999999","6"
"201","06024","Adekar","36.6942103","4.669073","6"
"202","06025","Akbou","36.45901610000001","4.5334783","6"
"203","06026","Seddouk","36.5446668","4.6868666","6"
"204","06027","Tazmalt","36.3878041","4.4079213","6"
"205","06028","Ait Rizine","36.3831907","4.5315029","6"
"206","06029","Chemini","36.5956868","4.6152308","6"
"207","06030","Souk Oufella","36.6114371","4.6295394","6"
"208","06031","Taskriout","36.5519437","5.284117699999999","6"
"209","06032","Tibane","36.6127223","4.6513509","6"
"210","06033","Tala Hamza","36.68767950000001","5.0078451","6"
"211","06034","Barbacha","36.5729398","4.971239","6"
"212","06035","Beni Ksila","36.839681","4.707061599999999","6"
"213","06036","Ouzallaguen","36.554343","4.572759800000001","6"
